year,genre_name,total_revenue,movie_count,avg_revenue
1914,Fantasy,5773000,11,524818
1914,Romance,4187028,70,59815
1914,Adventure,87028,41,2123
1914,Action,0,12,0
1914,Animation,0,10,0
1914,Comedy,0,436,0
1914,Drama,0,570,0
1914,Family,0,5,0
1914,Science Fiction,0,4,0
1914,Thriller,0,20,0
1915,Drama,11239802,615,18276
1915,Romance,204661,74,2766
1915,Action,0,19,0
1915,Adventure,0,35,0
1915,Animation,0,31,0
1915,Comedy,0,369,0
1915,Family,0,1,0
1915,Fantasy,0,9,0
1915,Science Fiction,0,6,0
1915,Thriller,0,60,0
1916,Drama,11242768,633,17761
1916,Action,8000000,18,444444
1916,Adventure,8000000,39,205128
1916,Science Fiction,8000000,18,444444
1916,Fantasy,1390000,13,106923
1916,Animation,0,66,0
1916,Comedy,0,348,0
1916,Family,0,2,0
1916,Romance,0,59,0
1916,Thriller,0,65,0
1917,Action,0,14,0
1917,Adventure,0,41,0
1917,Animation,0,51,0
1917,Comedy,0,295,0
1917,Drama,0,583,0
1917,Family,0,7,0
1917,Fantasy,0,20,0
1917,Romance,0,75,0
1917,Science Fiction,0,3,0
1917,Thriller,0,19,0
1918,Drama,10400000,522,19923
1918,Comedy,8000000,264,30303
1918,Animation,3000,43,70
1918,Fantasy,3000,12,250
1918,Action,0,16,0
1918,Adventure,0,33,0
1918,Family,0,4,0
1918,Romance,0,79,0
1918,Science Fiction,0,7,0
1918,Thriller,0,6,0
1919,Drama,11169213,454,24602
1919,Comedy,4900000,296,16554
1919,Romance,2400000,88,27273
1919,Action,0,28,0
1919,Adventure,0,48,0
1919,Animation,0,47,0
1919,Family,0,1,0
1919,Fantasy,0,11,0
1919,Science Fiction,0,5,0
1919,Thriller,0,5,0
1920,Drama,7709011,473,16298
1920,Action,4500000,30,150000
1920,Romance,4500000,69,65217
1920,Thriller,8811,7,1259
1920,Adventure,0,54,0
1920,Animation,0,80,0
1920,Comedy,0,288,0
1920,Family,0,7,0
1920,Fantasy,0,13,0
1920,Science Fiction,0,9,0
1921,Comedy,2500000,253,9881
1921,Drama,2500000,411,6083
1921,Romance,901937,94,9595
1921,Action,0,29,0
1921,Adventure,0,58,0
1921,Animation,0,91,0
1921,Family,0,8,0
1921,Fantasy,0,27,0
1921,Science Fiction,0,6,0
1921,Thriller,0,9,0
1922,Drama,400200,392,1021
1922,Thriller,400200,5,80040
1922,Adventure,142000,51,2784
1922,Fantasy,19054,17,1121
1922,Animation,500,105,5
1922,Comedy,500,213,2
1922,Action,0,27,0
1922,Family,0,12,0
1922,Romance,0,103,0
1922,Science Fiction,0,3,0
1923,Comedy,1500000,230,6522
1923,Romance,1500000,88,17045
1923,Thriller,1500000,4,375000
1923,Action,0,29,0
1923,Adventure,0,46,0
1923,Animation,0,94,0
1923,Drama,0,429,0
1923,Family,0,14,0
1923,Fantasy,0,17,0
1923,Science Fiction,0,3,0
1924,Romance,3921419,101,38826
1924,Drama,2393980,411,5825
1924,Action,1550000,36,43056
1924,Comedy,1550000,286,5420
1924,Adventure,1490419,51,29224
1924,Fantasy,1490419,17,87672
1924,Thriller,881000,4,220250
1924,Animation,0,106,0
1924,Family,0,13,0
1924,Science Fiction,0,9,0
1925,Drama,37759050,406,93003
1925,Romance,30297150,103,294147
1925,Adventure,13599650,62,219349
1925,Comedy,4130000,337,12255
1925,Thriller,704000,10,70400
1925,Action,0,36,0
1925,Animation,0,173,0
1925,Family,0,13,0
1925,Fantasy,0,17,0
1925,Science Fiction,0,9,0
1926,Drama,5647878,415,13609
1926,Action,3750000,62,60484
1926,Comedy,3523000,412,8551
