year,keyword,total_revenue
1911,bosbouw,1
1911,jacht op ijsberen,1
1911,natuur,1
1911,vulkaan tokachi,1
1913,kidnapping,1800000
1913,prostitution,1800000
1913,silent film,1800000
1914,partially lost film,9873000
1914,silent film,9873000
1914,black and white,5773000
1914,public domain,5773000
1914,swimming,5773000
1914,underwater,5773000
1914,alaska,4100000
1914,klondike gold rush,4100000
1914,nome alaska,4100000
1914,saloon brawl,4100000
1915,silent film,11102224
1915,american civil war,11000000
1915,army,11000000
1915,controversial,11000000
1915,ku klux klan,11000000
1915,racist,11000000
1915,reconstruction era,11000000
1915,southern usa,11000000
1915,lost film,102437
1915,gambling,102224
1916,captain nemo,8000000
1916,revenge,8000000
1916,16th century,1750000
1916,1st century,1750000
1916,6th century bc,1750000
1916,babylon,1750000
1916,huguenot,1750000
1916,intolerance,1750000
1916,marriage,1750000
1916,massacre,1750000
1918,silent film,10403000
1918,orphan,10400000
1918,fish out of water,8000000
1918,horse race,8000000
1918,new york city,8000000
1918,disability,2400000
1918,disabled,2400000
1918,love triangle,2400000
1918,married man,2400000
1918,physical disability,2400000
1919,silent film,11054504
1919,boarding school,4900000
1919,orphan,4900000
1919,con artist,3600000
1919,lost film,3600000
1919,partially lost film,3600000
1919,england,2554504
1919,alcoholic,2400000
1919,based on short story,2400000
1919,black and white,2400000
1920,silent film,7508811
1920,country girl,4500000
1920,fake wedding,4500000
1920,waterfall,4500000
1920,expressionism,8811
1920,german expressionism,8811
1920,insane asylum,8811
1920,madman,8811
1920,megalomania,8811
1920,somnambulism,8811
1921,abandoned baby,2500000
1921,angel,2500000
1921,black and white,2500000
1921,car theft,2500000
1921,class differences,2500000
1921,dream sequence,2500000
1921,fistfight,2500000
1921,foundling,2500000
1921,good deed doer,2500000
1921,illegitimate child,2500000
1922,court,400200
1922,monte carlo,400200
1922,wig,400200
1922,silent film,19554
1922,black and white,19054
1922,black death,19054
1922,castle,19054
1922,coffin,19054
1922,corpse in coffin,19054
1922,dracula,19054
1923,black and white,1500000
1923,climbing,1500000
1923,clock,1500000
1923,department store,1500000
1923,police,1500000
1923,silent film,1500000
1924,silent film,5188480
1924,manuscript,1550000
1924,romantic comedy,1550000
1924,speed,1550000
1924,stop wedding,1550000
1924,tailor,1550000
1924,tortoise,1550000
1924,tram,1550000
1924,apple,1490419
1924,arabian nights,1490419
1925,silent film,37759231
1925,france,22000000
1925,1910s,20000000
1925,american g.i.,20000000
1925,battlefield,20000000
1925,combat,20000000
1925,french girl,20000000
1925,patriotism,20000000
1925,spitting,20000000
1925,war buddies,20000000
1926,silent film,4812878
1926,german spy,1273000
1926,world war i,1273000
1926,asia,1250000
1926,bandit,1250000
1926,basic training,1250000
1926,battle,1250000
1926,battleship,1250000
1926,boot camp,1250000
1926,drill sergeant,1250000
1927,world war i,9841682
1927,silent film,8392420
1927,navy,6241682
1927,black and white,3964998
1927,1910s,3600000
1927,aerial combat,3600000
1927,battlefield,3600000
1927,dogfight,3600000
1927,fighter pilots,3600000
1927,france,3600000
1928,silent film,16083097
1928,blackface,8516000
1928,partially lost film,7931000
1928,fallen woman,7000000
1928,missionary,7000000
1928,religion,7000000
1928,south seas,7000000
1928,suicide,7000000
1928,u.s. marine,7000000
1928,zealot,7000000
1929,musical,12991000
1929,pre-code,10015000
1929,early sound film,9646000
1929,black and white,6158000
1929,based on play or musical,4822000
1929,broadway,4358000
1929,broadway show,4358000
1929,chorus girl,4358000
1929,crooner,4358000
1929,dance act,4358000
1930,pre-code,18117000
1930,world war i,11270000
1930,aerial combat,8000000
1930,airship,8000000
1930,bombing,8000000
1930,brother,8000000
1930,casualty of war,8000000
1930,dogfight,8000000
1930,duel,8000000
1930,fighter pilot,8000000
1931,pre-code,26563000
1931,black and white,19855000
1931,based on novel or book,14752000
1931,monster,12700000
1931,angry mob,12000000
1931,body part,12000000
1931,experiment,12000000
1931,fire,12000000
1931,frankenstein,12000000
1931,human monster,12000000
1932,pre-code,11581000
1932,based on play or musical,3817000
1932,black and white,3194000
1932,murder,3194000
1932,baron,2594000
1932,bookkeeper,2594000
1932,burglar,2594000
1932,card game,2594000
1932,conscience,2594000
1932,dachshund,2594000
1933,pre-code,41263000
1933,black and white,20030000
1933,great depression,17756000
1933,new york city,15007000
1933,musical,10297000
1933,animal horror,10000000
1933,damsel in distress,10000000
1933,dinosaur,10000000
1933,empire state building,10000000
1933,exotic island,10000000
1934,pre-code,10802000
1934,black and white,6159000
1934,screwball comedy,5923000
1934,musical,5265000
1934,england,4858000
1934,based on short story,4736000
1934,brat,4500000
1934,florida,4500000
1934,hitchhiking,4500000
1934,marriage,4500000
1935,19th century,6560000
1935,england,6266000
1935,london,6266000
1935,musical,5259000
1935,black and white,5202000
1935,based on novel or book,4503000
1935,18th century,4460000
1935,based on true story,4460000
1935,boat,4460000
1935,captain,4460000
1936,black and white,10292000
1936,epic,8023000
1936,california,8000000
1936,san francisco,8000000
1936,ballroom dancing,5327000
1936,dancing,5327000
1936,musical,5327000
1936,singing,5327000
1936,1900s,5273000
1936,belief in god,5273000
1937,apple,184925486
1937,attempted murder,184925486
